COLDETKEY,ST_VEH_TYPE_DESC
385408,Passenger Vehicle
230400,Truck/SUV
230400,Truck/SUV
385614,Passenger Vehicle
385614,Truck/SUV
385638,Truck/SUV
385638,Passenger Vehicle
385638,Passenger Vehicle
381810,Truck/SUV
381810,Truck/SUV
381810,Passenger Vehicle
385444,Truck/SUV
385444,Truck/SUV
385631,Truck/SUV
385631,Truck/SUV
385390,Truck/SUV
385390,Passenger Vehicle
385601,Truck/SUV
385601,Truck/SUV
381775,Truck/SUV
381775,Passenger Vehicle
381813,Truck/SUV
381813,Passenger Vehicle
381802,Passenger Vehicle
385426,Truck/SUV
385426,Passenger Vehicle
385602,Truck/SUV
385602,Truck/SUV
385605,Truck/SUV
385605,Truck/SUV
385605,Truck/SUV
381729,Truck/SUV
381738,Truck/SUV
381738,Truck/SUV
385558,Passenger Vehicle
385558,Passenger Vehicle
381724,Truck/SUV
381724,Truck/SUV
385382,Truck/SUV
385382,Truck/SUV
385382,Truck/SUV
385441,Truck/SUV
385441,Passenger Vehicle
385387,Passenger Vehicle
381761,Passenger Vehicle
381761,Truck/SUV
385432,Truck/SUV
385432,Two-Wheeled
381811,Truck/SUV
381811,Truck/SUV
381811,Truck/SUV
385389,Passenger Vehicle
385384,Passenger Vehicle
385504,Passenger Vehicle
385504,Truck/SUV
381804,Passenger Vehicle
381804,Commercial Trucks
385381,Truck/SUV
385413,Passenger Vehicle
385655,Truck/SUV
385655,Passenger Vehicle
385655,Truck/SUV
385388,Passenger Vehicle
385388,Passenger Vehicle
385388,Passenger Vehicle
385433,Truck/SUV
385433,Passenger Vehicle
385607,Truck/SUV
385607,Truck/SUV
385563,Truck/SUV
385563,Truck/SUV
381796,Passenger Vehicle
381796,Truck/SUV
385641,Passenger Vehicle
385641,Truck/SUV
381876,Commercial Trucks
381876,Truck/SUV
385445,Passenger Vehicle
385379,Truck/SUV
385379,Truck/SUV
385499,Truck/SUV
385424,Passenger Vehicle
385424,Commercial Trucks
385680,Truck/SUV
385680,Passenger Vehicle
385500,Passenger Vehicle
385500,Passenger Vehicle
385519,Truck/SUV
385519,Passenger Vehicle
385663,Truck/SUV
385396,Passenger Vehicle
385396,Truck/SUV
385456,Passenger Vehicle
385456,Truck/SUV
385455,Passenger Vehicle
385455,Truck/SUV
385578,Passenger Vehicle
385578,Passenger Vehicle
385578,Passenger Vehicle
385581,Truck/SUV
385581,Passenger Vehicle
385403,Other
385403,Passenger Vehicle
385391,Truck/SUV
385391,Truck/SUV
385391,Passenger Vehicle
385391,Truck/SUV
381877,Truck/SUV
381877,Truck/SUV
385529,Truck/SUV
385529,Passenger Vehicle
381717,Truck/SUV
381717,Passenger Vehicle
385577,Truck/SUV
385577,Truck/SUV
385577,Truck/SUV
385615,Passenger Vehicle
385615,Buses
195500,Truck/SUV
195500,Passenger Vehicle
235400,Not Stated
207300,Passenger Vehicle
308580,Passenger Vehicle
308580,Truck/SUV
318100,Passenger Vehicle
318100,Passenger Vehicle
193580,Truck/SUV
193580,Truck/SUV
255940,Buses
255940,Passenger Vehicle
193780,Truck/SUV
234100,Passenger Vehicle
234100,Truck/SUV
185280,Passenger Vehicle
185280,Not Stated
207700,Passenger Vehicle
207700,Not Stated
188680,Passenger Vehicle
188680,Passenger Vehicle
231000,Passenger Vehicle
231000,Truck/SUV
227940,Two-Wheeled
233400,Passenger Vehicle
233400,Passenger Vehicle
185680,Not Stated
185680,Passenger Vehicle
237740,Truck/SUV
205660,Passenger Vehicle
205660,Passenger Vehicle
228140,Passenger Vehicle
228140,Passenger Vehicle
193380,Passenger Vehicle
193380,Buses
223480,Truck/SUV
223480,Passenger Vehicle
381812,Passenger Vehicle
381812,Truck/SUV
381719,Passenger Vehicle
381719,Truck/SUV
381719,Passenger Vehicle
381719,Truck/SUV
385397,Truck/SUV
385397,Passenger Vehicle
385611,Passenger Vehicle
385611,Truck/SUV
385569,Not Stated
385569,Truck/SUV
381763,Buses
381763,Passenger Vehicle
385600,Passenger Vehicle
385600,Truck/SUV
385394,Truck/SUV
385394,Passenger Vehicle
381809,Passenger Vehicle
381809,Passenger Vehicle
381809,Truck/SUV
385580,Passenger Vehicle
385580,Truck/SUV
385659,Not Stated
385414,Passenger Vehicle
385414,Passenger Vehicle
385414,Truck/SUV
381721,Truck/SUV
381721,Truck/SUV
381880,Passenger Vehicle
381880,Commercial Trucks
385661,Truck/SUV
385661,Truck/SUV
385635,Truck/SUV
385635,Not Stated
385635,Truck/SUV
385422,Passenger Vehicle
385422,Passenger Vehicle
385422,Passenger Vehicle
385405,Passenger Vehicle
385405,Truck/SUV
385431,Two-Wheeled
385431,Passenger Vehicle
381732,Passenger Vehicle
381732,Not Stated
385555,Truck/SUV
385555,Truck/SUV
385427,Not Stated
385427,Truck/SUV
381766,Passenger Vehicle
200140,Truck/SUV
200140,Truck/SUV
385446,Truck/SUV
381872,Truck/SUV
381872,Truck/SUV
381872,Passenger Vehicle
381872,Truck/SUV
385438,Passenger Vehicle
385495,Not Stated
385495,Truck/SUV
381771,Not Stated
381771,Passenger Vehicle
381807,Passenger Vehicle
381807,Passenger Vehicle
381742,Truck/SUV
381742,Passenger Vehicle
385629,Truck/SUV
385629,Truck/SUV
381755,Truck/SUV
381755,Truck/SUV
385454,Truck/SUV
385454,Commercial Trucks
385666,Passenger Vehicle
385666,Passenger Vehicle
385660,Passenger Vehicle
385660,Passenger Vehicle
385398,Passenger Vehicle
